trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
388,False,"{'a': 0.4, 'e': 0.21182390209218135}",20,12,13.711998440133282,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.4, 'e': 0.21097829881783206}",20,13,-11.364684361043881,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
390,False,"{'a': 0.4, 'e': 0.21013607120076472}",25,14,6.783432684726648,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
391,False,"{'a': 0.4, 'e': 0.2092972057653195}",35,19,-3.0185694552462614,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
392,False,"{'a': 0.4, 'e': 0.20846168908963153}",20,10,2.386298551195733,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
393,False,"{'a': 0.4, 'e': 0.2076295078054162}",20,5,9.560920327733337,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
394,False,"{'a': 0.4, 'e': 0.20680064859775518}",20,9,-4.195348280332547,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
395,False,"{'a': 0.4, 'e': 0.20597509820488344}",25,18,-9.857427882527144,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
396,False,"{'a': 0.4, 'e': 0.20515284341797715}",25,11,28.51878222295031,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.4, 'e': 0.20433387108094211}",25,12,-11.2015182636374,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
398,False,"{'a': 0.4, 'e': 0.20351816809020357}",25,10,-19.41864342844846,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
399,False,"{'a': 0.4, 'e': 0.20270572139449614}",20,3,-38.438916107465516,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
400,False,"{'a': 0.4, 'e': 0.2018965179946554}",20,12,14.423515182962905,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.4, 'e': 0.2010905449434097}",25,14,18.688580781099493,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.4, 'e': 0.20028778934517305}",20,0,33.49032398830886,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
403,False,"{'a': 0.4, 'e': 0.19948823835583876}",20,11,-11.984612765261431,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
404,False,"{'a': 0.4, 'e': 0.19869187918257383}",20,0,18.744863732299436,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
405,False,"{'a': 0.4, 'e': 0.19789869908361465}",20,10,-24.094070466713774,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
406,False,"{'a': 0.4, 'e': 0.19710868536806264}",20,9,-2.2732966270387003,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
407,False,"{'a': 0.4, 'e': 0.1963218253956815}",20,13,2.534198064556779,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
408,False,"{'a': 0.4, 'e': 0.19553810657669488}",25,4,-5.785999403647493,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
409,False,"{'a': 0.4, 'e': 0.19475751637158498}",25,12,24.088952303944897,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.4, 'e': 0.19398004229089186}",25,3,-30.22000068256669,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
411,False,"{'a': 0.4, 'e': 0.19320567189501364}",20,15,10.58434959116533,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.4, 'e': 0.19243439279400748}",20,14,7.165721554774886,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.4, 'e': 0.19166619264739126}",20,15,10.122542299976509,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.4, 'e': 0.19090105916394629}",20,13,13.980628692134655,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.4, 'e': 0.1901389801015205}",30,10,41.41215104516374,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.4, 'e': 0.18937994326683263}",20,10,8.673180088426768,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
417,False,"{'a': 0.4, 'e': 0.1886239365152772}",20,16,7.470739743918253,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.4, 'e': 0.1878709477507299}",20,10,-0.7901666068148612,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
419,False,"{'a': 0.4, 'e': 0.1871209649253546}",20,6,11.575473732675636,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
420,False,"{'a': 0.4, 'e': 0.18637397603940997}",30,5,-2.06844018399455,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",1
421,False,"{'a': 0.4, 'e': 0.18562996914105798}",25,15,-38.906668660652706,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
422,False,"{'a': 0.4, 'e': 0.18488893232617234}",20,3,21.801952094524065,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.4, 'e': 0.1841508537381482}",25,11,15.78511710333068,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
424,False,"{'a': 0.4, 'e': 0.18341572156771246}",25,7,-28.6636872889018,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
425,False,"{'a': 0.4, 'e': 0.18268352405273464}",20,12,7.475506222570763,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.4, 'e': 0.18195424947803895}",35,21,10.462770288771605,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
427,False,"{'a': 0.4, 'e': 0.1812278861752166}",20,9,20.221574121994372,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.4, 'e': 0.1805044225224392}",20,0,-10.301654389037964,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
429,False,"{'a': 0.4, 'e': 0.17978384694427296}",25,4,-35.205319204326656,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
430,False,"{'a': 0.4, 'e': 0.17906614791149322}",25,11,24.851657941453805,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.4, 'e': 0.17835131394090015}",20,10,19.266068536559416,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.4, 'e': 0.17763933359513495}",20,12,9.789479438822223,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.4, 'e': 0.17693019548249692}",20,6,0.3110325846333548,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
434,False,"{'a': 0.4, 'e': 0.1762238882567611}",25,8,-10.284970595464516,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
435,False,"{'a': 0.4, 'e': 0.1755204006169969}",25,0,-14.285059272897533,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
436,False,"{'a': 0.4, 'e': 0.17481972130738693}",30,20,17.062030713891254,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.4, 'e': 0.1741218391170474}",20,3,-19.139343047038615,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
438,False,"{'a': 0.4, 'e': 0.17342674287984833}",20,11,-7.937726940510196,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
439,False,"{'a': 0.4, 'e': 0.17273442147423515}",25,7,10.321894177325587,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
440,False,"{'a': 0.4, 'e': 0.1720448638230505}",25,16,13.255242352144487,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.4, 'e': 0.17135805889335737}",20,10,12.302994698412764,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.4, 'e': 0.17067399569626215}",25,13,14.696251533176051,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.4, 'e': 0.16999266328673912}",25,0,-12.380257655471713,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
444,False,"{'a': 0.4, 'e': 0.1693140507634552}",30,17,8.987337864398869,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
445,False,"{'a': 0.4, 'e': 0.16863814726859552}",25,14,7.301792358443131,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
446,False,"{'a': 0.4, 'e': 0.16796494198768974}",25,0,29.086914728065647,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
